DATE,SITE_TYPE,SITE_NUMBER,SITE_ID,SPECIES_CODE,PERCENT_PLANT_IN_PLOT,CANOPY_DIA_1_CM,CANOPY_DIA_2_CM,PLANT_HT_CM,HT_TO_TALLEST_BUDSCAR_CM,GENUS
2018-06-19T00:00:00Z,WC,14,WC14,SALA,80,140,125,115,90,willow
2018-06-19T00:00:00Z,WC,14,WC14,SALA,100,65,40,85,65,willow
2018-06-19T00:00:00Z,WC,14,WC14,SALA,100,50,20,75,65,willow
2018-06-19T00:00:00Z,WC,14,WC14,SAMO,100,15,10,40,35,willow
2018-06-19T00:00:00Z,WC,14,WC14,SAMO,100,10,5,35,30,willow
2018-06-19T00:00:00Z,WC,14,WC14,SAMO,50,40,15,50,40,willow
2018-06-19T00:00:00Z,WC,14,WC14,SAMO,100,55,30,65,40,willow
2018-06-19T00:00:00Z,WC,14,WC14,SAMO,100,65,40,60,40,willow
2018-06-19T00:00:00Z,WC,14,WC14,SAMO,100,45,15,50,35,willow
2018-06-19T00:00:00Z,WC,14,WC14,SAMO,50,20,10,40,10,willow
2018-06-19T00:00:00Z,WC,14,WC14,SAMO,100,25,20,60,25,willow
2018-06-19T00:00:00Z,WC,14,WC14,SAMO,50,15,5,50,25,willow
2018-06-19T00:00:00Z,WC,14,WC14,SAMO,100,55,40,75,55,willow
2018-06-19T00:00:00Z,WC,14,WC14,SAMO,100,10,5,35,25,willow
2018-06-19T00:00:00Z,WC,14,WC14,SAMO,100,30,25,60,50,willow
2018-06-19T00:00:00Z,WC,14,WC14,SAMO,100,45,25,70,65,willow
2018-06-19T00:00:00Z,WC,14,WC14,SAMO,100,20,10,50,35,willow
2018-06-19T00:00:00Z,WC,14,WC14,SAPL,100,20,5,60,45,willow
2018-06-19T00:00:00Z,WC,14,WC14,SAPL,100,70,30,60,45,willow
2018-06-19T00:00:00Z,WC,14,WC14,SAPL,5,25,20,50,35,willow
2018-06-19T00:00:00Z,WC,14,WC14,SAPL,100,40,15,40,30,willow
2018-06-19T00:00:00Z,WC,14,WC14,SAPL,100,5,5,30,20,willow
2018-06-19T00:00:00Z,WC,14,WC14,SAPL,100,70,20,25,40,willow
2018-06-19T00:00:00Z,WC,14,WC14,SAPL,100,50,40,50,30,willow
2018-06-19T00:00:00Z,WC,14,WC14,SAPL,100,70,55,55,35,willow
2018-06-14T00:00:00Z,WC,15,WC15,DAFR,100,40,20,40,40,nonwillow
2018-06-14T00:00:00Z,WC,15,WC15,DAFR,100,40,20,40,40,nonwillow
2018-06-14T00:00:00Z,WC,15,WC15,DAFR,100,115,90,100,90,nonwillow
2018-06-14T00:00:00Z,WC,15,WC15,DAFR,100,15,5,20,15,nonwillow
2018-06-14T00:00:00Z,WC,15,WC15,SABE,100,5,5,5,0,willow
2018-06-14T00:00:00Z,WC,15,WC15,SABE,100,10,5,15,5,willow
2018-06-14T00:00:00Z,WC,15,WC15,SABE,100,20,20,40,25,willow
2018-06-14T00:00:00Z,WC,15,WC15,SABE,100,15,10,20,15,willow
2018-06-14T00:00:00Z,WC,15,WC15,SABE,100,30,15,20,10,willow
2018-06-14T00:00:00Z,WC,15,WC15,SABE,100,45,40,90,80,willow
2018-06-14T00:00:00Z,WC,15,WC15,SABE,100,20,10,55,45,willow
2018-06-14T00:00:00Z,WC,15,WC15,SABE,100,205,200,170,145,willow
2018-06-14T00:00:00Z,WC,15,WC15,SABE,100,15,10,20,10,willow
2018-06-14T00:00:00Z,WC,15,WC15,SAGE,100,10,5,20,0,willow
2018-06-14T00:00:00Z,WC,15,WC15,SAMO,100,40,35,55,55,willow
2018-06-14T00:00:00Z,WC,15,WC15,SAMO,5,160,140,125,125,willow
2018-06-19T00:00:00Z,WC,16,WC16,DAFR,100,30,20,50,45,nonwillow
2018-06-19T00:00:00Z,WC,16,WC16,DAFR,100,35,25,75,70,nonwillow
2018-06-19T00:00:00Z,WC,16,WC16,DAFR,100,5,5,60,50,nonwillow
2018-06-19T00:00:00Z,WC,16,WC16,DAFR,50,150,95,80,75,nonwillow
